Source_Followings	Source_Followers	Sink_Followers	Common_Followings	Distance	Real
22	7	155	16	1.0	1
99	12	1	0	4.0	-1
542	25	15	0	3.0	-1
80	29	1	0	4.0	-1
316	40	87	26	1.0	1
26	9	49	13	1.0	1
2524	270	5	0	2.0	-1
89	21	135	0	1.0	1
48	45	1	0	4.0	-1
209	25	165	0	1.0	1
97	22	5	0	1.0	1
115	92	6	0	1.0	1
14925	248	1	0	3.0	-1
251	77	1	0	3.0	-1
394	26	2	0	4.0	-1
387	113	207	60	1.0	1
135	21	3	0	1.0	1
57	5	1	0	3.0	-1
9211	2058	73	0	1.0	1
260	22	8	0	1.0	1
771	53	1	0	3.0	-1
179	5	1	0	1.0	1
34	8	1	0	3.0	-1
1411	77	1	0	3.0	-1
196	35	2	0	3.0	-1
1047	55	6	0	2.0	-1
25	22	1	0	4.0	-1
360	93	5	0	1.0	1
314	61	11	0	1.0	1
528	55	500	22	1.0	1
79	84	142	18	1.0	1
4787	133	1	0	3.0	-1
99	22	13	0	1.0	1
6	29	1	0	4.0	-1
346	45	2	0	3.0	-1
47	18	39	15	1.0	1
147	16	13	0	1.0	1
72	3	3	0	1.0	1
6683	228	695	0	1.0	1
32	15	563	0	1.0	1
70	8	1	0	4.0	-1
405	37	4	0	2.0	-1
227	20	1	0	3.0	-1
127	7	5	0	1.0	1
37	11	2	0	4.0	-1
141	75	19	0	3.0	-1
220	17	1	0	1.0	1
371	106	3	0	1.0	1
35	188	171	0	1.0	1
113	19	1	0	4.0	-1
84	18	3	0	3.0	-1
76	5	1	0	3.0	-1
1738	204	3	0	2.0	-1
458	72	1	0	3.0	-1
28	6	209	9	1.0	1
239	7	124	0	1.0	1
53	34	206	29	1.0	1
49	1	4	0	4.0	-1
354	39	1	0	3.0	-1
240	14	1	0	3.0	-1
653	284	43	0	3.0	-1
32	467	128	15	1.0	1
31	12	3	0	2.0	-1
7138	306	76	0	1.0	1
91	24	159	23	1.0	1
1	6	1	0	6.0	-1
624	103	64	10	1.0	1
418	87	1	0	2.0	-1
159	19	2	0	3.0	-1
81	175	504	11	1.0	1
83	39	2	0	3.0	-1
108	12	1	0	3.0	-1
2081	97	1	0	3.0	-1
39	60	1	0	3.0	-1
54	9	3	0	3.0	-1
82	860	216	14	1.0	1
37	8	5	0	3.0	-1
101966	1483	3	0	2.0	-1
92	30	1	0	4.0	-1
80	20	1	0	1.0	1
99	43	736	14	1.0	1
447	39	1	0	3.0	-1
180	50	14	0	1.0	1
95	22	4	0	1.0	1
4	2	1	0	4.0	-1
88	112	4	14	1.0	1
802	130	1	0	3.0	-1
231	19	3	0	3.0	-1
27	11	3	0	3.0	-1
1266	51	106	0	1.0	1
63	8	1	0	3.0	-1
196	322	1	0	3.0	-1
149	17	1	0	3.0	-1
453	84	1	0	3.0	-1
17	24	5	0	4.0	-1
139	13	7	0	1.0	1
195	9	1	0	1.0	1
101	125	1	0	4.0	-1
11	28	1592	3	1.0	1
55	6	1	0	1.0	1
1261	112	2	0	3.0	-1
52	73	11	0	1.0	1
54	16	1	0	5.0	-1
431	85	1	0	3.0	-1
79	37	1	0	4.0	-1
92	8	2	0	4.0	-1
792	70	1630	219	1.0	1
0	12	5	0	2000.0	-1
116	43	894	32	1.0	1
66	19	2	0	4.0	-1
2582	113	1	0	3.0	-1
1911	125	4	0	2.0	-1
10537	320	2	0	3.0	-1
4	2	53	0	4.0	-1
578	207	20	0	2.0	-1
40	45	208	8	1.0	1
197	11	2	0	3.0	-1
446	38	1	0	3.0	-1
53	3	16	0	1.0	1
10	5	2	0	1.0	1
1911	125	1	0	3.0	-1
908	157	225	51	1.0	1
161	51	1	0	1.0	1
386	58	284	8	1.0	1
5	1	2	0	3.0	-1
1	1	1	0	5.0	-1
3909	115	1	0	3.0	-1
109	14	2	0	3.0	-1
143	22	1	0	3.0	-1
199	57	106	0	1.0	1
218	30	1	0	3.0	-1
236	79	3	0	1.0	1
2664	266	482	226	1.0	1
1	3	1	0	1.0	1
33	25	3	0	1.0	1
227	29	1	0	3.0	-1
339	21	1	0	3.0	-1
1	3	1	0	2000.0	-1
347	45	4	0	1.0	1
229	55	1	0	3.0	-1
5	1	1	0	1.0	1
15	11	2	0	4.0	-1
958	164	54	0	1.0	1
152	54	47	0	1.0	1
489	38	2	0	1.0	1
3063	225	70	0	1.0	1
227	9	16	0	1.0	1
37	7	5	0	4.0	-1
79	58	25	20	1.0	1
49	1	1	0	5.0	-1
90	15	23	0	3.0	-1
338	92	18	0	1.0	1
156	14	2	0	3.0	-1
50	6	1	0	3.0	-1
102	68	274	43	1.0	1
9	1	1	0	1.0	1
54	8	27	0	3.0	-1
186	10	2	0	3.0	-1
12	8	4	0	1.0	1
102	4	5	0	3.0	-1
524	38	2	0	3.0	-1
1790	193	119	0	1.0	1
738	260	23	0	1.0	1
7	1	1	0	4.0	-1
237	20	2	0	3.0	-1
311	40	1	0	3.0	-1
22	11	213	10	1.0	1
6	13	3	0	1.0	1
9	3	2	0	1.0	1
309	27	1	0	3.0	-1
252	43	6	0	3.0	-1
31	93	14	0	1.0	1
1031	75	179	0	1.0	1
2	2	1	0	5.0	-1
8777	225	77	0	1.0	1
715	8	1	0	3.0	-1
269	72	1	0	3.0	-1
79	122	1	0	2.0	-1
56	3	101	0	1.0	1
43	50	10	0	1.0	1
605	150	1	0	3.0	-1
11	3	1	0	4.0	-1
32	467	2	0	3.0	-1
328	14	2	0	3.0	-1
176	44	88	28	1.0	1
132	45	1	0	3.0	-1
3170	91	19	0	1.0	1
128	24	6	0	1.0	1
312	33	1	0	3.0	-1
1176	31	1	0	2.0	-1
507	43	1	0	1.0	1
9	2	1	0	5.0	-1
1640	194	8	0	2.0	-1
10704	303	1	0	3.0	-1
45	6	2	0	1.0	1
1379	19	103	0	2.0	-1
576	45	54	0	1.0	1
53	1	1	0	4.0	-1
0	2	1	0	2000.0	-1
39	3	9	0	1.0	1
216	57	53	0	1.0	1
26	136	1	0	3.0	-1
39	1	1	0	3.0	-1
258	13	2	0	1.0	1
321	28	1	0	3.0	-1
6	6	72	0	4.0	-1
56	21	1	0	1.0	1
1168	767	1	0	3.0	-1
2556	224	323	0	1.0	1
2700	227	1	0	3.0	-1
142	20	1	0	4.0	-1
78	17	1	0	3.0	-1
16	35	59	0	1.0	1
16	25	1294	0	1.0	1
7	7	2	0	4.0	-1
927	106	4	0	3.0	-1
135	33	149	0	1.0	1
564	15	2	0	2.0	-1
0	67	1	0	2000.0	-1
112	33	1	0	3.0	-1
208	22	85	0	1.0	1
9761	203	2	0	3.0	-1
55	75	2	0	3.0	-1
1152	59	3	0	1.0	1
186	17	1	0	1.0	1
21	3	1	0	4.0	-1
154	84	19	0	3.0	-1
2457	550	13	0	3.0	-1
439	18	2	0	3.0	-1
56	10	1	0	3.0	-1
662	246	4	0	1.0	1
81	20	51	0	1.0	1
20	40	2	0	4.0	-1
385	43	2	0	3.0	-1
606	10	6	0	1.0	1
381	189	7	0	1.0	1
65	87	22	0	3.0	-1
866	60	108	0	1.0	1
45	2	1	0	1.0	1
63	6	9	0	1.0	1
135	86	163	0	1.0	1
9	7	314	1	1.0	1
1226	102	16	0	1.0	1
86	19	14	0	1.0	1
2	9	2	0	5.0	-1
200	693	161	0	1.0	1
39	26	1	0	3.0	-1
60	8	1	0	3.0	-1
268	13	7	0	1.0	1
2	6	16	0	4.0	-1
54	64	3	0	1.0	1
2	1	76	0	1.0	1
606	10	12	0	3.0	-1
137	45	1	0	3.0	-1
181	49	2	0	3.0	-1
126	9	1	0	4.0	-1
287	15	1	0	4.0	-1
1348	160	118	0	1.0	1
4	70	10	0	4.0	-1
64	321	119	11	1.0	1
2	266	1	0	4.0	-1
17	5	3	0	4.0	-1
20607	740	73	0	1.0	1
8	2	16	0	3.0	-1
474	40	36	0	1.0	1
90	7	1	0	4.0	-1
55	4	1	0	1.0	1
80	40	79	0	1.0	1
7	1	4	0	4.0	-1
28	6	1	0	1.0	1
332	34	156	6	1.0	1
439	90	1	0	1.0	1
338	19	1	0	3.0	-1
61	58	1	0	4.0	-1
47	9	30	0	1.0	1
139	13	91	0	1.0	1
129	555	1	0	4.0	-1
2248	194	73	0	1.0	1
243	32	2	0	3.0	-1
404	84	4	0	3.0	-1
544	29	109	12	1.0	1
4405	402	38	0	1.0	1
53	25	1	0	4.0	-1
70	19	1	0	1.0	1
181	34	47	0	1.0	1
324	78	12	0	2.0	-1
487	38	7	0	3.0	-1
54	4	1	0	1.0	1
1294	141	95	0	1.0	1
153	24	1	0	1.0	1
7	1	9	0	1.0	1
504	87	392	0	1.0	1
158	45	2	0	3.0	-1
610	26	58	0	1.0	1
299	51	22	0	1.0	1
204	66	14	0	3.0	-1
826	72	75	0	2.0	-1
65	5	1	0	4.0	-1
1818	242	4	0	2.0	-1
3239	68	1	0	2.0	-1
1892	152	1	0	2.0	-1
115	32	1	0	3.0	-1
56	7	1	0	3.0	-1
21	8	32	10	1.0	1
749	85	1	0	3.0	-1
2673	167	2	0	3.0	-1
1020	13	1	0	1.0	1
10413	237	3	0	3.0	-1
445	117	2	0	3.0	-1
27	99	31	0	1.0	1
409	25	21	0	1.0	1
37	11	1	0	4.0	-1
67	7	1	0	4.0	-1
5330	64	63	0	1.0	1
253	337	1	0	3.0	-1
8	2	3	0	4.0	-1
1892	81	548	0	1.0	1
621	71	3	0	3.0	-1
4747	129	447	0	1.0	1
313	74	1051	19	1.0	1
247	48	655	25	1.0	1
75	2	7	0	1.0	1
481	244	6	0	1.0	1
98	51	1	0	3.0	-1
1153	291	826	308	1.0	1
46	66	118	18	1.0	1
80	11	2	0	3.0	-1
91	15	749	2	1.0	1
451	69	3	0	1.0	1
633	249	20	0	1.0	1
1	1	28	0	1.0	1
8	2	1	0	4.0	-1
1290	33	1	0	3.0	-1
248	69	3	0	3.0	-1
4530	460	51	0	1.0	1
82	13	2	0	3.0	-1
67	93	2	0	3.0	-1
91	33	1	0	4.0	-1
113	27	1	0	3.0	-1
339	61	11	0	1.0	1
751	54	2	0	1.0	1
320	61	84	0	1.0	1
2391	63	2	0	1.0	1
154	14	22	19	1.0	1
221	452	1	0	4.0	-1
683	182	1505	164	1.0	1
42	67	1	0	3.0	-1
161	33	227	14	1.0	1
4	3	1	0	4.0	-1
2663	110	131	0	1.0	1
155	17	28	0	1.0	1
1073	267	502	0	1.0	1
9	1	6	0	2000.0	-1
35	12	1	0	4.0	-1
791	192	1	0	1.0	1
1659	382	1	0	3.0	-1
2	9	2914	0	1.0	1
510	38	21	0	1.0	1
12	6	4	2	1.0	1
302	10	179	0	1.0	1
216	14	1	0	3.0	-1
53	79	1	0	3.0	-1
960	105	1	0	3.0	-1
70	60	128	37	1.0	1
15	4	1	0	2000.0	-1
174	8	5	0	1.0	1
175	15	13	0	1.0	1
1566	83	1	0	3.0	-1
52	26	1	0	3.0	-1
65	35	527	18	1.0	1
719	54	2	0	3.0	-1
65	13	1	0	3.0	-1
352	68	117	0	1.0	1
851	80	11	0	2.0	-1
168	72	57	0	1.0	1
361	56	22	0	2.0	-1
38	5	1	0	1.0	1
47	29	751	14	1.0	1
122	22	1	0	3.0	-1
118721	1252	100	0	1.0	1
263	19	14	0	2.0	-1
258	42	14	0	1.0	1
205	177	19	0	1.0	1
999	82	13	0	1.0	1
158	25	2	0	3.0	-1
28	1	2	0	3.0	-1
95	19	19	0	3.0	-1
293	51	1642	118	1.0	1
140	54	25	0	1.0	1
417	18	1	0	5.0	-1
