Source	Sink	Source_Followings	Source_Followers	Sink_Followers
4462091	3341191	232	9	20
3133677	2193797	13	4	21
3934509	1157920	415	27	292
2214980	2643544	118	7	520
3577478	1360891	209	134	57
4615258	1497278	47	19	1869
360145	2954399	65	11	33
1719802	4660026	456	3	3
3499469	2345674	270	43	80
3575966	4703578	138	221	2
1582613	4202708	128	264	1
1184351	3151176	216	11	1
4120171	3701498	407	33	28
1370169	4717268	1452	223	12
541565	4058810	249	69	561
182123	3415302	218	17	2098
3833683	2839022	74	26	293
3444181	1959450	217	69	250
2472681	2644157	528	208	2
958336	2620177	63	7	8
1035129	581171	111	8	13
2914315	3764528	815	52	95
1980589	3659050	30	8	204
2152492	3313134	49	63	13
1034643	1243368	293	198	319
4602575	3007914	296	8	14
2408877	4202736	84	7	4
2870700	4202576	108	25	600
3830070	2770509	392	88	798
678792	933663	122	11	2
4274877	4835247	307	25	663
4187141	530200	291	24	2035
98985	2256601	258	33	5
3599420	233340	65	8	4
4099305	519412	5174	118	4
588533	1958425	2858	84	1
2502833	766318	92	66	831
3632998	3981826	360	35	1
435003	35911	1730	92	13
2526523	1871816	60	3	14
3864185	394398	223	74	32
4268264	4347654	22	4	1278
2111786	2165609	30	7	2
644301	2399134	511	442	84
2840509	2088104	11	6	40
213185	3023130	70	22	778
3082104	2284502	4343	47	1
4821346	1856808	32	9	10
546566	2122220	151	3	3
1506065	4279121	3968	136	54
2083361	4499653	219	114	224
679170	4308267	13	5	102
4153603	704633	220	43	3
732335	3370538	122	68	1
280426	894528	329	44	14
684731	1790360	58	3	1
411002	1269260	471	132	92
4380766	3242360	1165	114	11
1213507	1781128	115	107	77
3797207	4313335	5	8	768
3120144	3657083	31	35	124
3551313	4493181	470	452	351
434122	114983	73	14	39
776874	1603289	199	17	360
4037698	4117579	1482	130	4
2256895	2416169	134	13	1
3097564	1492557	46	4	56
2233775	687484	38	7	5
1687006	1793937	82	6	6
616726	3756004	428	67	44
2566170	659210	245	51	144
1062390	4823758	1396	289	7
4054269	3063872	471	14	9
2297796	1130850	611	44	2
416770	4141749	137	709	24
433761	3599234	107	12	423
1276425	2562262	8319	102	2
1460879	528217	6	4	42
302379	3542043	24	10	3
1533518	130129	14	1	38
3193894	914350	250	28	80
4221988	4344495	248	15	144
3977047	1166608	1162	49	128
348164	1264672	419	20	193
2964390	2560714	213	26	24
2536003	2463473	25	33	29
519175	268046	7221	173	14
4653076	735870	5	93	120
1363931	1732644	228	2	84
226013	1660611	187	30	190
4450291	4586218	190	40	47
1370169	3422324	1452	223	268
1075306	1337853	15	6	1795
4362385	3179561	364	17	105
3478899	3031171	156	53	47
416174	2543578	191	15	40
864268	3132944	136	56	1
4685113	1827786	232	33	421
4479954	2696352	2167	70	29
1741497	597809	3909	115	1
2689055	1744681	3	2	45
916936	2442670	458	57	21
881488	3978787	9	45	1204
2760277	2306134	290	508	337
4516604	844778	13314	314	218
1535269	1249665	505	88	24
3452706	2714269	2116	245	94
1577209	1349622	57	10	94
2682210	3612539	67	3	3
5848	727310	99	33	39
3181831	2934361	1158	84	2
3894171	3663452	144	7	28
2581751	2872620	95	9	15
1010658	4712898	315	200	10
273505	2969841	159	99	14
2380608	4175214	3399	360	101
4327096	989885	2944	234	40
859917	4704619	209	70	194
1619546	2342664	416	86	1181
505797	1740338	791	29	9
2074981	304702	839	122	140
490305	1330040	170	20	35
4103278	2377754	41	9	6
4381553	3807699	1364	218	2
412862	470664	860	80	140
280171	1022663	3378	232	99
2011824	2289611	3	4	147
4001849	722567	1826	176	74
4629569	1865453	1698	152	14
1119016	1942017	1457	252	6
922827	827654	448	103	64
1177513	581535	69	11	1283
3692657	3976137	2350	33	5
3448990	2968206	226	45	2
1963890	3123639	177	18	538
4615618	3651179	42	4	1752
125139	201538	86	107	1
1748843	1235144	261	131	38
4293257	3077549	255	29	51
3302338	392804	458	21	2
1532833	3186156	546	418	40
1969718	1082649	300	53	75
236630	3683701	305	15	2
3381720	1298165	70	60	4
302109	34716	85	8	20
1649751	32410	129	2	458
1046514	2258369	107	27	1
3237836	16250	171	9	37
1130005	2657284	103	287	2605
1099600	2607632	56	23	2
4017765	1330301	222	61	160
4096880	478843	790	71	6
2417949	3024113	1743	306	1
800924	1680880	292	67	16
4834694	1228636	376	18	5
162775	2046234	134	72	155
4525161	4094419	184	28	9
3065808	1906433	82322	1235	93
309382	468419	4536	135	1
1817799	3411354	15933	402	1
1184923	2329083	857	55	7
1682981	2118528	78	9	24
2809671	1004913	19	16	65
3219384	3513426	64	2	2
4527062	3609163	478	12	3
2060048	1841590	77	7	3
2865405	2851530	1486	79	228
1255199	267893	285	55	29
3030681	3415302	14	3	2098
2250533	2284434	118	12	345
4771682	1150104	449	52	293
1822719	3489914	22352	285	21
1824031	2423421	224	52	5
445996	3809291	12829	1175	9
2806428	1690327	4940	232	2
4517240	680084	3	513	14
4774514	1612102	820	85	3
3944137	2778519	427	84	20
3978042	3865042	180	50	14
4630540	901978	16	9	19
3296296	129432	69	20	6
3390049	4627010	730	106	6
4532217	1158340	42	15	65
2486535	4326021	78	13	140
2044050	1249406	225	67	87
4283132	4651949	5	11	1
2134194	1088064	53	9	2
2033773	4436276	596	58	67
2247657	3956158	7138	306	76
1191020	2293038	112	263	592
577164	1196089	375	40	39
4219307	3070170	12	6	17
2769866	542371	837	155	58
4431219	2127923	110	9	20
4692327	3491977	2092	149	19
3118310	1322025	17	38	22
1643894	220592	208	10	62
1457977	4643353	145	15	2
439557	1967615	61749	2090	168
898012	3930372	412	99	3
1553232	4552792	286	114	52
1668102	4518223	69	13	115
4463545	2103227	3842	94	35
570894	3101081	1019	95	1145
2913973	1698119	56	16	471
3441731	241224	818	57	5
4496464	521586	193	105	782
510477	4388440	89	15	15
240570	3597301	1079	138	34
1995965	233749	200	86	34
2542828	1911056	174	35	1
2339318	216754	63	9	165
1783493	2785182	170	36	55
4785101	4383195	1988	150	3
2173390	1219267	16	4	238
1950343	3741017	315	169	249
858791	4617830	2663	110	131
2174130	3012530	1368	86	3
3429275	1255401	13	1	21
4507127	2456267	1288	47	93
2141034	2800259	1	1	365
1294785	2864531	1	52	71
509714	1058851	232	225	9
1761151	2007331	4153	260	249
2848791	2157287	35	3	12
3059163	835556	152	17	295
2474070	2507356	2421	102	15
1296996	3586548	62	2	34
3842497	116968	21	4	67
276263	2669216	1473	112	280
3232793	2285720	335	13	2
4126109	4108662	111	10	131
896087	2618792	219	102	27
2305236	3267708	424	248	100
4768522	2963023	676	49	66
2635199	271364	165	59	1541
2603258	790247	640	72	17
28194	3397550	26	3	1
1519762	98690	218	16	41
1225988	2585159	8881	157	179
920153	2419372	276	32	11
4204344	681793	38	8	27
3561896	2034178	275	68	1
4114501	3680885	214	37	10
3598782	4634593	97	312	3
3933095	4157804	2162	304	20
3586135	2712039	33	95	67
921286	669249	212	32	10
1424221	4412662	130	111	78
240699	3822281	43	7	6
78950	1411233	13	471	16
1219739	195648	90	27	176
3089145	4847887	6	6	212
885140	4003047	169	38	137
866252	3352799	669	89	227
4345608	3636180	2526	234	564
1325483	3136919	6	3	122
3810577	3184906	45	2	24
3978531	1233837	115	15	1
429180	2210979	330	61	54
4404351	4702756	1195	156	327
1341178	1028394	16829	899	14
3590948	1452018	2943	492	79
214842	983360	679	11	5
4517765	3880653	503	71	1
1821864	396780	264	39	36
2295029	2771058	348	32	26
2254986	3934208	130	84	81
382977	12246	5934	143	4
4401332	2261139	153	82	2014
1962884	3649036	3358	404	5
1130763	1622052	254	294	89
4525057	107853	132	21	6
4321002	915390	75	18	1345
530260	2393833	208	77	45
2039899	3859910	144	36	65
1417255	3723496	72	325	543
809365	977117	55	49	6
1987430	1309665	178	57	42
4060074	2573081	7305	178	66
4506423	571842	1461	101	8
4055608	1229947	1936	126	85
852989	3589007	1	4	1
2049692	2934606	618	38	12
4379244	213018	12	13	290
1438597	22937	1197	182	6
2001286	4101246	1	1	3
1946674	1800861	137	108	79
3015800	2672217	52	26	24
3482543	209474	78	2	8
883816	4336736	297	71	19
2774493	4161397	12713	551	85
1963713	2086667	20	96	34
1721804	2144504	125	8	555
4316559	3085568	912	16	664
4657225	3134456	27	2	12
2441262	3677862	1665	136	63
1301651	506428	133	26	1267
4096302	1983604	547	351	12
3133671	768269	226	155	667
282453	1652056	34	9	326
1767226	2031080	102	37	211
172652	3607623	119	108	10
4144407	4107606	76	13	9
3538258	201249	60	45	323
3099326	3675625	1952	176	94
2039946	332287	17	91	2
4364979	1188411	328	12	781
865980	3818990	30	5	28
3690780	1647581	56	47	3
840801	4676082	1258	155	7
3220134	716014	81	31	3
4466222	1683944	339	61	11
4520306	1886954	675	502	68
3938536	79794	15	1	37
4391581	3957113	47	9	864
836594	384779	1136	194	27
928477	4671804	153	39	84
624895	2225065	2	3	2
4754912	1623990	9	2	1
1439091	776171	568	95	16
3094013	138282	74	19	297
2702438	2277787	131	19	474
3316620	4302205	5083	214	37
3502908	1592226	58	10	9
202677	1010658	126	48	200
1425169	3115403	150	136	3
3717778	3444147	465	102	67
2848634	3192145	85	14	65
4572307	1582750	1351	189	13
4818002	4058810	155	153	561
4029434	31104	158	47	1
4452466	446051	676	50	3
3082645	2162483	1825	932	146
3436293	1889910	136	50	59
3529572	1898691	184	90	61
2046648	1073676	152	39	8
4016481	964429	595	24	4
1800539	3415302	25	4	2098
3654276	4294126	3512	153	434
3039218	1154498	779	17	36
416101	4533948	68	115	6
1312619	1836266	55	27	2
82918	100125	3786	88	1
3294532	1600927	87	7	4
3230198	4654657	152	16	2
1605944	1822769	32	13	54
2693578	1358075	9	3	37
4133379	2823885	152	35	14
2307351	4014826	173	191	244
1658782	3705086	173	12	5
2629632	2378820	828	97	15
88036	3846185	113	9	2
595757	2325159	26740	340	18
4169623	1872910	110	21	182
3563963	3023881	319	378	1035
2999623	4546662	113	14	202
2596048	119775	23	72	35
1497833	2930622	815	110	31
2841054	2252837	236	79	3
1198476	563699	72	15	6
3160719	4272512	1	1	116
4705090	3306625	91	7	1
1013164	2498087	172	31	1630
4132283	3420321	187	30	3
3633019	906785	32319	746	3
454446	4058687	624	103	418
3315192	1032625	289	83	8
4427242	1846497	248	109	3
1521716	2091949	83	58	20
978341	4169854	10066	604	18
949229	2305236	251	274	248
1519762	3026020	218	16	5
2513351	4788521	20	9	32
2034229	15129	181	34	47
1328066	3522688	433	52	21
1635335	3114805	115	7	4
372345	1664495	313	92	134
4447214	612365	207	15	1
600918	2097472	361	56	28
1227415	3885175	593	70	84
197080	4657888	288	21	1789
2601210	1637403	251	77	23
4279508	1773894	82	35	42
3359024	2142786	64	11	171
1519407	3880845	268	129	9
4222011	298418	32	5	1
2989915	2950989	78	21	24
1732261	165745	98	19	22
1232840	2188975	225	62	27
2560616	1048555	200	49	38
1763249	3399990	268	1	1
1729990	3372446	469	14	34
4081891	591176	228	44	711
2000284	4038413	320	61	84
4302148	4680544	99	122	17
2956260	80959	21	3	5
1695849	3427776	11	5	41
1337919	4651807	10276	250	38
290541	2744944	260	24	274
4427061	1934182	89	17	1
1923509	4226284	24	5	755
4417764	1462439	80	25	777
4169099	4563026	1322	79	286
4741460	3554708	233	2	24
346869	581535	560	224	1283
4848475	3865635	325	131	94
3651761	2397233	132	6	166
371379	2198813	751	2294	908
2492534	2400344	11	2	13
3681482	2348035	189	98	54
292547	2068266	51	14	39
192597	3797960	1	5	614
4725654	17924	175	26	68
2413823	3530833	70	19	1
3632120	1499726	1983	118	16
4845434	4198459	107	90	47
344131	1640053	194	97	3
1917864	1673358	1447	229	129
1304675	3702208	1	2	468
366980	1589445	497	114	6
4824021	2853969	63	19	1051
3023724	3055856	65	37	7
2645062	3638272	64	22	2022
1785307	711442	2119	154	300
1715336	4866710	17	2	1
4170468	4170593	32	4	3
3130537	227332	78	13	21
2131292	4310417	129	122	57
196412	271364	322	28	1541
3711241	1284715	56	11	42
2395440	3617947	731	94	8
1544489	2981537	98	111	1252
238974	4471842	1457	169	259
3655780	2088494	1301	342	39
913320	2758920	866	60	108
3649619	4811488	58	10	712
4466691	1213745	401	5	21
2544561	3337583	74	48	126
3023130	528563	6402	778	89
577850	3133115	126	21	9
1338610	1522183	62	8	310
3257180	3514277	346	110	1338
3517440	4108050	58	14	79
978669	486389	31	6	9
4584128	3687881	128	57	26
3500268	3216843	257	45	49
3980998	3125762	92	58	254
978341	1118466	10066	604	71
2018928	947405	576	45	111
2973719	4266024	324	78	43
943581	892233	203	26	139
2569401	2916918	64	19	462
527963	1996270	426	44	2
3090504	3946538	128	19	127
312080	53463	276	34	38
289876	4818977	775	121	45
1803990	3454055	1	92	2914
4208044	958397	3919	247	1351
1359085	3414168	90	71	655
381300	2276692	1986	114	6
96911	1149000	107	61	31
3132419	940665	387	72	372
4768452	1994117	120	444	436
712745	4746751	47	3	1
3049578	1892115	99	43	13
2093076	3119548	107	37	82
2116762	491585	153	30	3
1915091	2284434	63	34	345
3115867	3253847	61238	1350	26
4162091	628735	72	73	16
3689767	4358994	48	20	1
4572441	661185	47	22	250
864013	2196316	68	34	58
2799417	3791212	277	13	130
2678284	3177663	122	26	129
4094117	4072140	322	168	1
2793437	2907011	25447	582	36
1583869	3241251	51	3	2002
2151253	1485108	160	19	121
2492402	2683994	1778	336	1
364260	785288	70	14	58
3710316	2127622	116	12	36
3480652	2066794	13	1	4
3561508	937821	40	3	1
3115867	1531716	61238	1350	1
4657951	4359630	170	48	14
2094874	3667893	35	14	471
1885745	2933546	143	35	297
1992776	3691330	173	6	11
222416	4101089	159	34	2
307250	1203160	35588	919	10
625715	2863071	592	13	341
2562439	1036933	3070	139	38
242107	1383860	1236	33	86
2209323	3798344	70	116	33
2150598	4609768	228	51	2
1001107	3362193	349	32	13
1265070	1784157	22	11	12
4503643	2101782	715	8	26
3514446	1277632	3233	92	3
992545	543615	37	2	2
2087003	4774076	4405	402	38
150737	3883997	156	14	1
2553213	790724	36	4	692
4155819	4719323	456	93	10
2873662	3677246	87	5	19
4687461	2354110	289	224	360
1355516	138502	2436	315	14
964242	2553868	159	22	80
2436781	2132706	9972	689	29
1050787	201438	56	7	6
4611670	3603709	1152	59	3
4516838	4208653	11	135	1820
885928	4759451	547	146	292
3296550	1700376	99	11	15
2170284	1888218	63	12	692
1313292	1321566	99	22	13
1382490	2906437	223	106	12
4209209	3584034	1	2	20
1695380	1471685	1368	373	1681
151465	3412530	643	61	25
3191004	2042595	1343	62	38
619507	4695370	260	63	8
479500	2391377	42	40	69
4375756	2982239	284	64	32
4049767	1120944	848	324	838
331433	1526639	67	47	19
171364	2902466	480	30	6
2365613	3785913	147	1	73
4411704	992662	389	69	698
2959473	1882704	12	6	18
4404122	4568261	288	182	4
2716045	1858077	7	3	450
4738394	4136003	1053	113	897
2251428	1111107	80	33	63
3133475	4034700	429	157	11
3316071	2153040	1	4	1
1314981	3013028	1	38	3
1681606	3569633	1	3	1
1670146	2104579	259	66	3
448272	3181040	171	5	2
2858723	731401	450	118	64
3180100	3277826	931	83	110
180302	2123752	1997	26	55
1795313	3784120	1966	99	95
3768601	4325791	1680	263	200
1609659	3308622	29765	523	102
1596160	64392	999	82	13
3831803	1067848	173	39	4
2433051	1505294	17	192	1
19933	2264412	120	21	23
4028879	1037778	143	108	58
2962429	933897	152	57	7
381300	170366	1986	114	18
3096785	2096343	77	2	1
2207856	4512746	101	4	33
2949409	85686	2185	175	527
1815739	1653519	6590	248	93
2442158	3932712	84	213	303
961770	3576805	62	7	6
418985	1809926	43	159	2452
4200115	823733	29	6	2
3800793	4847887	134	12	212
240699	4202157	43	7	1
4168549	961376	818	48	1
483067	4401420	244	44	175
2542194	3546420	9	5	1
4617334	50479	188	27	129
3716178	3464231	7	108	548
1807497	4103810	371	180	51
2563310	1308199	641	100	1003
1520236	3457174	213	97	13
4718237	514745	7	2	28
165256	2103465	361	121	45
823361	788495	388	190	27
887005	926012	124	40	2
767491	454454	659	59	61
1660247	1448115	78	4	1
276502	1829062	2245	30	58
1776312	3538025	179	132	27
491971	320363	149	69	39
4345536	1163271	22	13	58
1034778	4038309	179	60	360
4073917	3083036	1529	24	6
913693	506428	21	26	1267
1494880	1605915	33	108	44
25767	1104119	46	185	8
3683258	3589438	1772	130	35
2069064	2480437	716	48	10
1453981	2404411	73	5	1841
