Source	Sink	Source_Followings	Source_Followers	Sink_Followers	Distance
3386592	3349975	56	339	4	3.0
267602	4294443	318	28	2	3.0
86923	475305	151	37	1	3.0
3228848	4701390	36	8	33	3.0
2107524	633589	96	4	6	4.0
1324353	1688374	175	9	1	3.0
4661499	3836259	432	121	1	2.0
2851163	288198	131	481	2	3.0
4492636	2178485	415	28	1	3.0
2527654	1936027	1740	39	1	3.0
2207912	1972834	39	26	1	3.0
3248640	2918300	4	2	2	4.0
1320944	2702401	265	52	1	3.0
3899221	4411665	268	22	1	3.0
1776859	2973464	0	2	1	inf
4110068	268265	87	25	1	3.0
3362726	4547382	235	40	1	4.0
943943	279231	88	7	1	4.0
1671376	287631	2451	64	1	3.0
51054	687285	118	17	4	2.0
2429521	1972276	314	44	2	3.0
1124035	3473239	3736	84	1	2.0
2634068	471988	952	101	1	3.0
2579876	3871560	461	9	1	4.0
710313	3650691	696	101	6	3.0
3911868	4829472	70	1	1	4.0
1724008	1877403	378	37	1	4.0
252905	3789214	4356	218	35	2.0
687144	3424712	859	679	1	2.0
662940	3961168	216	45	1	3.0
1956732	3781779	415	70	3	4.0
2023713	1412409	107	269	7	3.0
1201672	1210351	18	1	1	inf
3175944	3312110	7415	324	1	3.0
1338610	3247495	62	8	9	3.0
748230	3146834	459	88	1	3.0
1676913	970093	89	22	1	4.0
4787934	2302042	68	24	2	4.0
1366113	2459423	62	25	1	5.0
889255	634419	66	19	15	4.0
489584	3941506	12100	421	2	3.0
1961110	1517164	124	3	3	3.0
1375385	3347053	542	19	1	3.0
2907769	2840259	68	17	1	3.0
63018	2921812	5	3	1	4.0
2537275	3199746	11	28	1	3.0
2655966	3982139	2804	81	2	3.0
166004	2269173	888	27	1	3.0
3567042	4500089	81	21	1	3.0
535777	1584049	363	16	1	3.0
2047860	82593	143	131	7	3.0
1242964	1386277	1168	767	1	3.0
1027486	3746405	383	782	1	3.0
1546171	2998577	683	147	1	3.0
4419890	2358246	64	13	1	4.0
3242275	728863	17401	551	1	2.0
521586	4688811	18491	782	1	3.0
3237295	2708835	119	57	14	2.0
892942	4144940	78	7	3	3.0
3803891	1783563	306	39	2	3.0
1483062	2413079	33	17	2	3.0
817523	2037915	268	46	1	3.0
1907280	580420	394	100	1	3.0
3362378	1919947	132	45	1	3.0
1702195	1509059	0	161	2	inf
1037743	2300216	45	25	1	3.0
3423256	2516481	2138	289	2	3.0
3462923	302879	817	369	1	3.0
478492	3802660	118	28	1	3.0
2315745	131001	79	11	7	3.0
1083370	139454	9	36	1	4.0
3150215	50316	886	101	1	3.0
1188380	4329095	109	1	1	3.0
59609	4423970	100	2	1	4.0
3863781	4213002	223	63	1	3.0
203540	284407	238	10	1	3.0
3676252	2130447	256	18	2	3.0
1655243	4853055	12	5	1	4.0
2161115	3664904	951	157	1	2.0
3992451	4024888	222	17	1	3.0
2259806	4221293	126	11	1	3.0
4581522	536656	140	14	12	4.0
1069970	4522459	1	1	1	inf
2290971	3748939	64	22	1	3.0
6679	3258978	228	27	1	3.0
3329401	4679871	14	3	1	5.0
2504808	2454882	253	337	1	3.0
3291214	1740620	247	18	7	2.0
527267	186735	262	327	1	4.0
168660	2333934	49	11	2	3.0
842600	1486309	5	6	1	4.0
4710755	3641880	339	21	1	3.0
529627	3729162	72	23	1	3.0
1044803	4300123	642	79	1	2.0
4355667	3752675	2	18	1	inf
2401907	2593001	1141	103	1	3.0
2618247	2916130	80	10	3	3.0
1092806	4482132	215	53	1	3.0
2459829	2707551	17	3	1	5.0
164459	3342571	8	2	3	4.0
1931612	3658360	3	5	7	3.0
4680639	4602904	864	165	1	3.0
2344789	1631520	135	17	1	5.0
3666768	2623945	0	17	2	inf
1173032	3214044	422	28	3	3.0
1813118	1405919	185	64	1	4.0
2313535	2921374	93	2	2	4.0
441999	3491941	16	62	1	5.0
3689183	3571014	249	5	1	3.0
1971770	2963986	406	40	2	3.0
4567344	1650076	23	2	2	3.0
1983399	2383360	2027	510	1	4.0
4445029	2357055	1042	44	1	4.0
2201746	2260597	6	6	26	3.0
2445500	2820518	3239	68	1	2.0
797919	2839720	0	3	1	inf
1787982	3159510	113	28	1	3.0
4107348	3769355	59	41	1	4.0
1025750	91806	90	16	2	4.0
1889641	4593157	1381	33	2	2.0
2411474	2007660	1921	63	1	3.0
843999	3488952	25	22	1	4.0
2464827	2388409	47	33	1	4.0
2854332	3846311	168	21	1	2.0
3651339	4483719	0	9	1	inf
2007581	1484070	44	12	1	4.0
832820	1424955	773	73	1	3.0
1367618	1072422	2	2	3	4.0
4337884	3850926	298	419	2	3.0
3633734	1158765	43	9	1	4.0
1163928	1921249	254	96	3	3.0
3855947	2431444	724	69	2	3.0
606949	23	309	61	1	3.0
1962388	2701891	7	4	1	6.0
4004861	3971248	35	15	1	4.0
2810883	1158658	316	282	1	3.0
2806692	4330075	102	13	2	3.0
832987	4743144	52	5	1	4.0
1828358	2999973	927	106	4	3.0
1492163	2023584	837	49	1	3.0
4237133	3920214	0	2	2	inf
1998868	2287972	12	10	1	4.0
4783469	4459097	392	16	1	3.0
4827775	948992	20	19	1	3.0
642834	1219092	73	31	1	3.0
3770739	4746326	57	33	2	4.0
3625784	1888	381	130	1	3.0
2270858	25383	208	12	1	3.0
992014	796452	64	12	10	3.0
3309976	2062139	225	7	1	3.0
1643232	3796773	233	30	4	3.0
2258757	675014	412	142	5	3.0
1429664	4714692	515	131	2	3.0
3277922	1455639	51	6	2	3.0
2230629	3379414	143	13	1	3.0
708543	3715376	137	38	2	3.0
1499173	972250	70	4	1	4.0
1817	226956	109	25	3	3.0
4106142	2187664	3436	306	1	3.0
2465641	2339414	2507	383	3	3.0
1234540	3600897	75258	1071	1	2.0
4051859	1955253	23	2	30	4.0
503564	3858060	86	43	1	3.0
166847	396534	378	100	1	3.0
2932999	705987	50	5	2	2.0
2293038	3619937	286	592	1	4.0
1724324	4859466	870	119	1	3.0
3081555	1937946	143	44	1	3.0
3211441	1684944	108	56	1	3.0
474273	2902517	45	5	1	4.0
4352623	2096780	1186	345	3	2.0
418339	1709177	702	34	2	3.0
2905030	2698142	415	23	2	3.0
4375025	1274644	1190	41	13	3.0
1452812	3898905	48	15	47	3.0
4497340	1322425	574	97	9	3.0
2604348	838175	416	222	1	3.0
3961479	707842	101	8	2	2.0
2759503	4201424	1	1	1	inf
3516555	4523673	25	218	6	3.0
1283801	1604456	61	25	1	3.0
1629498	3582472	41	161	1	3.0
605874	2040562	3312	145	1	2.0
2712442	1285325	115	43	2	3.0
1851549	3887823	0	309	6	inf
697368	1450133	77	43	1	3.0
4534610	4269667	198	36	1	3.0
1240598	3334067	75	37	2	3.0
2158997	2596023	103	14	1	3.0
1006943	2449209	460	39	1	2.0
402638	4004701	22	225	8	3.0
630220	3579278	2886	594	1	2.0
3097564	4144941	46	4	6	3.0
1565437	2297037	105	14	1	4.0
4659435	3396556	245	22	1	4.0
2180289	4299068	27	3	1	5.0
4422082	3109163	125	433	1	3.0
195123	112114	193	34	1	3.0
2819700	1710356	44	13	2	4.0
1345907	770180	97	56	1	3.0
4686093	1756558	1003	181	1	3.0
1061239	470758	15	13	1	4.0
4408955	3753710	2	2	1	inf
3315646	1035560	89	6	2	3.0
2148992	1468764	94	26	1	3.0
410659	3893902	44	33	1	3.0
4858238	3296957	20	1	1	3.0
3982332	3685622	112	5	1	3.0
1919568	2807156	967	930	2	3.0
276069	703883	417	18	1	5.0
3791803	3647915	247	28	1	3.0
3707448	2334376	334	196	1	3.0
85061	4436838	359	73	14	3.0
1359393	3731034	96	104	1	3.0
4001704	2692003	71	11	1	3.0
1399174	1264665	912	27	1	3.0
3190793	936375	449	76	1	3.0
2172290	3646812	217	41	1	4.0
994814	1153452	112	62	4	3.0
2640739	649433	399	52	1	3.0
2670449	2594884	3488	277	1	3.0
3891414	605817	1655	175	2	3.0
4586218	4816208	444	47	1	3.0
547084	3942404	393	27	2	3.0
2947215	2768805	97	4	1	3.0
3671121	4039712	594	237	1	3.0
3992144	4594611	23683	402	4	3.0
4473441	3372451	605	150	1	3.0
4811410	3506891	97	48	4	4.0
1731579	3528887	181	10	1	3.0
1356493	2874355	47	28	1	3.0
1828733	2125800	947	135	1	3.0
1748831	64182	1777	352	1	3.0
3428477	367437	24	23	1	4.0
3585026	1294182	338	44	1	2.0
3104865	2838261	263	19	14	2.0
1428894	3967497	31	3	3	4.0
3100295	740506	68	57	1	4.0
3522015	3461652	919	88	1	2.0
1648834	1928233	64	13	1	3.0
2593388	4033102	154	26	2	3.0
1074569	4352484	68	12	1	3.0
2641746	3352386	1	5	1	5.0
1493489	1792106	17513	523	1	3.0
3468124	2002079	1	3	2	inf
496280	2890440	115	131	3	3.0
622581	3698740	43	7	1	4.0
2433279	3642285	6	6	2	3.0
2320576	4085789	420	56	1	2.0
110652	611418	86	1	1	2.0
2973719	2485790	324	78	12	2.0
2120066	3326268	41	2	2	3.0
3895785	3759730	183	45	1	3.0
1999600	893206	343	27	2	3.0
3309885	3489349	6	3	1	4.0
3948414	486066	75	7	1	3.0
3730936	323897	16	2	1	3.0
3356765	3589218	176	34	1	2.0
3438446	4001630	923	783	12	3.0
510020	3855686	62	31	1	3.0
2781817	4027827	24613	704	1	3.0
2149785	1413900	6	20	1	4.0
3708361	3935469	90	6	2	3.0
4721599	1798882	75	20	9	3.0
3889275	4397393	305	7	1	4.0
3245995	1842409	159	131	1	3.0
2712999	1962524	505	602	6	2.0
3888592	729882	484	44	2	2.0
2375878	748519	14925	248	1	3.0
653766	31534	1567	70	2	3.0
4347263	1139416	17	8	3	3.0
2929722	2799170	58	20	1	3.0
2339921	1146744	187	92	1	4.0
955090	1919309	181	108	1	3.0
3628305	1183849	248	61	19	2.0
3034977	92782	17	5	1	4.0
3149222	4057225	233	39	1	3.0
2881353	2317829	79	87	1	3.0
1567215	1559738	9	16	1	3.0
4029906	2415900	48	110	1	4.0
5905	3651263	225	279	3	3.0
222665	4787970	270	80	1	3.0
446533	106676	2507	243	1	3.0
3194560	601064	2856	282	1	3.0
2536481	2190437	41	7	1	4.0
520611	2852402	691	68	1	3.0
2588755	908427	7	2	1	4.0
3692657	3092018	2350	33	1	3.0
3695421	639040	92	8	1	4.0
3888810	4499684	1564	239	1	3.0
3631455	2375225	243	2	1	3.0
3179851	2966399	280	38	4	3.0
3501677	10410	127	33	3	3.0
1763353	3336856	10073	126	12	3.0
1914681	2190319	104	8	1	3.0
4301309	657809	4103	323	11	2.0
653856	2876215	11	4	2	3.0
3211934	2927789	240	14	1	3.0
928570	4604199	115	32	1	3.0
125061	711930	405	10	7	3.0
2200397	3404300	54	8	27	3.0
3219384	1679650	64	2	1	4.0
1562387	2053564	410	17	1	3.0
2753268	3504540	108	34	1	2.0
392971	1810914	41	14	1	4.0
2918261	2026427	653	95	1	3.0
112616	4016095	220	36	3	3.0
1009277	293058	153	63	2	3.0
4440642	3425477	217	29	1	2.0
4775841	4722207	391	48	1	3.0
2828297	1388529	1212	24	1	3.0
494210	3771233	1024	26	10	3.0
2774344	3420171	423	48	2	3.0
1185681	1792845	3	1	1	4.0
4851206	1423057	752	93	1	3.0
2575584	1369188	65	49	1	4.0
688973	3706276	5	8	3	4.0
3707339	2743044	99	15	7	3.0
3597497	690775	22	19	1	3.0
1741497	851440	3909	115	1	3.0
4132409	2657375	54	26	1	4.0
4462717	4065393	267	30	1	4.0
4492038	267913	62	31	1	3.0
2735016	4552995	1112	53	1	2.0
4285363	524255	45	11	1	3.0
310109	4421138	22	5	1	4.0
4840211	3016221	2001	145	1	3.0
3089145	1066081	6	6	72	4.0
3866691	4094397	63	14	2	3.0
2980603	2810598	544	30	6	2.0
163267	1590253	454	178	1	3.0
2642477	1237675	279	12	3	3.0
1783809	2057741	173	46	5	3.0
2095492	3902440	185	15	1	3.0
1736555	4656946	829	60	5	2.0
2347146	783995	168	20	1	3.0
3920375	239926	32	91	2	3.0
317300	2945530	97	5	1	4.0
457909	498175	264	59	1	2.0
3093057	4715295	105	19	1	3.0
1725772	2358792	56	29	3	3.0
629870	413713	179	175	1	3.0
4157871	2911073	20	4	1	5.0
4504183	1304058	47	14	1	4.0
842427	814081	44	6	1	3.0
854182	4006031	1148	79	1	2.0
1324715	2523968	257	14	1	4.0
3441479	3885024	810	97	1	3.0
2462210	3537305	1606	96	4	3.0
132679	4713187	15	1	1	5.0
4297315	1080583	7446	195	1	3.0
2370725	2866057	46	68	1	4.0
4149007	3944671	2	61	1	4.0
4071756	844628	309	27	1	3.0
1513404	1670314	21	2	1	4.0
3248640	4534006	4	2	1	4.0
4129660	3929807	339	28	1	4.0
1809334	2632268	251	34	1	3.0
4739443	3618153	1	1	1	inf
1776859	1380842	0	2	1	inf
1828733	3292396	947	135	3	3.0
3229211	706150	365	96	1	4.0
2093641	1730368	1019	93	12	2.0
2576341	480435	690	359	95	2.0
562324	232769	166	15	2	3.0
1688060	3606608	187	13	1	4.0
1098696	1440764	1	3	1	inf
344052	3841374	514	88	2	3.0
3237583	130698	757	70	1	3.0
3625541	2140480	114	34	3	3.0
2754710	2586369	35	65	1	3.0
299042	3752517	127	72	8	4.0
4176110	73372	1	68	1	inf
4858131	4613749	1083	45	7	3.0
1821227	1019959	461	43	1	3.0
1471686	1884592	230	16	1	4.0
117301	3875671	93	5	1	4.0
2111696	2342113	121	170	1	4.0
2290144	4611702	97	5	5	3.0
4120497	1905492	189	25	2	2.0
4535553	3620565	250	22	1	4.0
4090257	3691670	94	15	1	3.0
4866081	1988185	0	1	1	inf
3582815	4019965	157	90	1	3.0
2061169	4612833	383	41	1	2.0
3085835	2099337	113	7	14	3.0
4048993	3402665	162	34	1	3.0
3303038	1454623	2	2	1	5.0
2015027	4360299	135	29	1	4.0
3982632	4240959	4	2	2	4.0
2108636	1376686	137	20	2	3.0
3170292	4371997	651	75	3	2.0
3530334	1514870	77	74	4	3.0
4397832	3385758	101	45	59	3.0
3174860	2511433	76	61	1	4.0
4129346	2616998	20	30	1	3.0
4334721	3568496	63	9	3	4.0
209406	1961614	63	10	2	3.0
1233580	3882832	364	49	1	3.0
3092219	4136214	0	5	11	inf
4548839	1752098	264	132	3	2.0
69636	551037	3	10	1	4.0
161882	2570674	49	9	2	3.0
1893219	2077723	17	7	7	4.0
2521571	4757012	168	42	1	3.0
1626343	2795496	90	27	1	3.0
673824	2210214	931	123	1	4.0
2229844	3802113	310	45	1	3.0
4744676	930953	222	9	1	2.0
4428625	4578838	49	7	1	5.0
1270472	843115	316	63	2	2.0
2977886	3706142	216	25	1	3.0
4650956	3023725	3	121	1	4.0
4751376	2801700	86	16	2	4.0
93752	1030334	997	45	1	3.0
4373583	3666249	14	5	2	3.0
3238058	2816569	126	38	14	3.0
849756	4071008	531	91	1	3.0
3809087	2585096	207	18	10	3.0
4551701	4112045	3	4	1	6.0
1941746	359433	270	23	64	2.0
3896471	1418244	79	20	5	2.0
3649398	44598	1493	6	1	4.0
3844662	710043	20	3	38	4.0
2703130	2202899	186	12	2	3.0
1131082	8279	25	7	1	4.0
3399413	3675327	35	11	1	3.0
3271484	61375	34095	1507	1	4.0
609071	3631686	318	47	165	3.0
2214183	2306096	109	14	2	3.0
2319907	1396047	6	19	1	4.0
3866441	4587556	3655	261	1	3.0
1768909	889437	13	4	1	4.0
3186537	2541364	104	14	1	3.0
3241251	687111	228	2002	1	3.0
581046	4399792	173	13	3	3.0
1953316	1008248	67	7	1	4.0
4623482	3466533	192	33	1	4.0
4540552	532046	40	24	1	4.0
3342881	1176086	19	26	7	3.0
2537415	2322088	102	28	1	3.0
465616	2479219	0	1	1	inf
3278741	3694867	30	14	1	3.0
3125762	4270482	8285	254	2	2.0
304011	1417313	175	34	1	3.0
1419515	3890988	139	72	2	3.0
3846966	894452	136	22	1	3.0
541710	3200646	42	187	2	4.0
1082649	850751	317	75	1	3.0
3561005	225408	118	39	1	3.0
767491	3465182	659	59	1	4.0
1627275	3701279	1206	210	1	3.0
630220	3693166	2886	594	1	3.0
2798422	3441146	50	10	1	3.0
2054797	3061134	120	29	2	2.0
1794526	1706894	1730	169	1	5.0
1168034	186478	46	26	1	4.0
1328066	4763178	433	52	1	3.0
1193998	3690742	90	13	2	4.0
2461514	2767308	49	25	1	4.0
4438844	4766168	184	584	1	3.0
1968186	1649569	84	8	3	3.0
3965448	1286215	155	30	4	4.0
815422	4411083	22	1	9	inf
4074425	4029352	31	41	1	3.0
4313572	314471	16971	930	1	3.0
4389651	3526984	48	45	1	4.0
3344390	2685534	4274	309	2	3.0
3722259	2611681	1227	284	13	2.0
2947429	4585049	892	19	2	3.0
4300092	3731239	502	21	1	3.0
1790111	1650344	456	73	1	3.0
3971661	1060931	529	148	1	2.0
1655138	1882502	354	120	1	3.0
2161539	2779778	22	9	1	4.0
1212708	923783	86	7	2	4.0
2569125	3030100	309	168	5	2.0
1472442	1509040	165	59	1	4.0
3899905	492174	481	47	8	3.0
185896	3015728	117	622	1	3.0
2714994	3134952	255	250	2	4.0
2908511	2819051	1086	411	1	4.0
4451122	1932643	41671	985	4	2.0
4211589	1962472	4	10	1	4.0
1254918	1584005	65	2	1	3.0
1808382	4082523	76	19	1	4.0
3291693	4099141	244	21	2	2.0
3840453	3522563	53	17	1	4.0
4537610	3388434	184	31	28	2.0
93752	3624003	997	45	4	3.0
3209363	2470369	69	12	2	4.0
3477948	1774215	253	51	1	3.0
130330	3506179	8	1	6	4.0
3606354	656140	114	172	1	3.0
1719848	2618310	3039	252	1	3.0
1943564	2931920	15	4	2	inf
3662772	3140250	213	166	2	3.0
1818152	2330154	1167	20	1	2.0
725974	378962	2505	83	1	3.0
4105866	476548	498	54	1	3.0
553568	3501346	268	209	9	3.0
2339400	3152542	49	51	2	3.0
2539460	2974569	492	36	1	3.0
585971	2283204	23	2	34	3.0
3455396	553	56	10	4	3.0
4309861	1056404	31	20	1	4.0
1486750	525882	54	33	1	3.0
855906	2970472	995	81	1	3.0
62301	3286608	262	44	3	3.0
2345238	3193349	121	28	1	3.0
3349661	159339	937	166	3	3.0
2491020	1490919	76	219	2	3.0
4220986	2284843	834	40	2	3.0
3357903	773314	1262	268	1	3.0
1738980	631313	15	11	2	4.0
837553	4620105	61665	1249	1	2.0
3910508	2317361	936	16	44	3.0
3551313	586326	470	452	4	3.0
1422030	158750	407	31	3	3.0
2758918	1247062	222	35	27	2.0
813662	1138820	4	1	1	3.0
4203215	1153753	523	7	1	3.0
993832	3441549	786	112	4	3.0
1059843	3350057	43	9	275	2.0
4798392	1973920	373	80	8	3.0
3428892	89035	103	231	1	3.0
3813019	1031914	11	12	2	3.0
4787485	1897574	241	31	2	3.0
2148937	3933909	47364	672	1	2.0
1506917	4571828	57	18	1	4.0
4017576	4515193	327	128	3	3.0
2415693	1888013	39	21	4	4.0
4497645	4459542	536	65	6	3.0
