Source	Sink	Source_Followings	Source_Followers	Sink_Followers	Real	Common_Followings	Com_Followings_Ratio	Followers_Ratio	Indirect_Followings	Inv_Indirect_Followings
2305801	1872910	22	1	182	0	1	0.045454545454545456	182.0	1	0
1906456	3417935	67	19	7	0	1	0.014925373134328358	0.3684210526315789	1	1
2431613	995467	54	2	2	0	0	0.0	1.0	1	0
3424373	115356	3	1	109	0	2	0.6666666666666666	109.0	1	1
154306	1621732	15	42	17	0	3	0.2	0.40476190476190477	1	0
2670782	711032	219	68	111	0	0	0.0	1.6323529411764706	15	0
577207	2187332	40	17	38	0	0	0.0	2.235294117647059	1	0
786364	2431202	1	1	25	0	1	1.0	25.0	1	1
745100	3551368	1	2	7	0	0	0.0	3.5	1	0
2360910	4860417	632	154	3	0	0	0.0	0.01948051948051948	0	0
1726071	240799	147	313	4	0	0	0.0	0.012779552715654952	1	0
3750187	2648980	52	23	94	0	0	0.0	4.086956521739131	2	0
904957	2870535	369	242	36	0	0	0.0	0.1487603305785124	5	0
3351601	2491667	30	3	20	0	0	0.0	6.666666666666667	1	0
3214219	1387890	5	3	53	0	3	0.6	17.666666666666668	3	1
3383533	3171421	3290	34	3	0	0	0.0	0.08823529411764706	1	0
4064747	2667863	49	26	38	0	7	0.14285714285714285	1.4615384615384615	16	5
3342881	2741570	19	26	204	0	0	0.0	7.846153846153846	0	0
2982337	1541960	162	55	92	0	0	0.0	1.6727272727272726	1	0
3511870	4273127	293	149	59	0	7	0.023890784982935155	0.3959731543624161	6	0
2233163	3533292	69	21	12	0	0	0.0	0.5714285714285714	1	0
1969222	11183	46	32	6	0	0	0.0	0.1875	4	0
4346129	2504099	168	48	31	0	0	0.0	0.6458333333333334	2	0
3427625	1579036	196	774	31	0	0	0.0	0.040051679586563305	1	0
2349849	4422549	259	62	14	0	0	0.0	0.22580645161290322	2	0
3237295	1066404	119	57	4	0	0	0.0	0.07017543859649122	1	0
3278741	3034765	30	14	42	0	1	0.03333333333333333	3.0	1	1
2539663	2179071	14	3	4	0	0	0.0	1.3333333333333333	0	0
2384520	3807503	12	12	50	0	2	0.16666666666666666	4.166666666666667	2	1
1474902	2416014	74	45	10	0	1	0.013513513513513514	0.2222222222222222	1	0
1664434	4121518	208	10	276	0	0	0.0	27.6	2	0
808735	4196056	56	33	152	0	1	0.017857142857142856	4.606060606060606	0	1
801774	815321	27	14	8	0	10	0.37037037037037035	0.5714285714285714	5	8
524750	4803636	163	55	153	0	0	0.0	2.7818181818181817	22	0
1689585	945296	76	34	22	0	0	0.0	0.6470588235294118	2	0
2451654	159455	83	50	457	0	0	0.0	9.14	3	0
3632701	3530456	78	28	47	0	0	0.0	1.6785714285714286	0	0
2029671	4367383	1241	142	14	0	0	0.0	0.09859154929577464	1	0
3370639	2318035	91	63	20	0	0	0.0	0.31746031746031744	2	0
1828651	1107339	33	296	3	0	0	0.0	0.010135135135135136	1	0
1206079	236246	247	200	306	0	2	0.008097165991902834	1.53	40	1
1930214	3454055	42	132	2914	0	0	0.0	22.075757575757574	2	0
2353951	3249563	164	29	70	0	0	0.0	2.413793103448276	2	0
2659272	4520863	183	28	3432	0	18	0.09836065573770492	122.57142857142857	17	2
1888218	3198742	850	692	551	0	121	0.1423529411764706	0.796242774566474	61	129
2989104	1910883	80	6	51	0	6	0.075	8.5	2	1
3510439	2874431	132	12	1	0	0	0.0	0.08333333333333333	1	0
3011413	4587335	48	215	51	0	0	0.0	0.2372093023255814	4	0
1109797	4716911	193	47	54	0	0	0.0	1.148936170212766	3	0
1003239	2005279	55	47	637	0	0	0.0	13.553191489361701	6	0
3303038	2214237	2	2	1	0	0	0.0	0.5	1	0
4628214	3787035	115	46	15	0	0	0.0	0.32608695652173914	3	0
2276080	232062	15	2	162	0	0	0.0	81.0	1	0
3133671	3690710	226	155	1	0	0	0.0	0.0064516129032258064	1	0
2499945	1305713	82	2	50	0	0	0.0	25.0	1	0
1150457	2982115	48	4	19	0	0	0.0	4.75	1	0
835598	1511324	164	343	415	0	3	0.018292682926829267	1.2099125364431487	6	3
3339589	2560869	70	6	55	0	0	0.0	9.166666666666666	3	0
2026955	2195387	1608	145	4	0	0	0.0	0.027586206896551724	0	0
2178821	3850197	66	4	89	0	0	0.0	22.25	1	0
1129427	581535	2	1	1283	0	1	0.5	1283.0	1	1
4052781	3736991	14	24	9	0	0	0.0	0.375	2	0
3023796	1793477	19	11	21	0	8	0.42105263157894735	1.9090909090909092	7	8
2798502	231154	35	9	1	0	0	0.0	0.1111111111111111	1	0
1436210	3483305	75	36	860	0	3	0.04	23.88888888888889	8	2
1994117	3465982	318	436	195	0	11	0.03459119496855346	0.44724770642201833	10	4
1231276	597924	4	9	1173	0	0	0.0	130.33333333333334	1	0
4695992	484200	4	3	3	0	0	0.0	1.0	0	0
2019140	377373	181	30	38	0	0	0.0	1.2666666666666666	2	0
202355	790100	63	15	11	0	0	0.0	0.7333333333333333	2	0
2907677	3190099	4	8	11	0	0	0.0	1.375	0	0
4393406	2038357	528	55	7	0	0	0.0	0.12727272727272726	1	0
2466544	3796325	227	48	8	0	0	0.0	0.16666666666666666	3	0
3957113	3653115	211	864	14	0	0	0.0	0.016203703703703703	1	0
2171133	903467	12	3	53	0	1	0.08333333333333333	17.666666666666668	1	0
3731958	1438464	134	236	280	0	0	0.0	1.1864406779661016	23	0
335479	1845465	76	43	43	0	0	0.0	1.0	0	0
1393276	1209780	12	3	11	0	0	0.0	3.6666666666666665	0	0
2015788	518297	321	37	255	0	7	0.021806853582554516	6.891891891891892	15	0
2801903	1795434	159	233	1	0	0	0.0	0.004291845493562232	1	0
989880	1199298	573	53	894	0	3	0.005235602094240838	16.867924528301888	4	0
725351	929698	26	20	67	0	2	0.07692307692307693	3.35	2	1
2063281	755999	212	6	97	0	0	0.0	16.166666666666668	1	0
3418742	1851228	67	1	18	0	0	0.0	18.0	1	0
310957	2652643	349	96	18	0	0	0.0	0.1875	9	0
3534145	4467395	23	12	2084	0	6	0.2608695652173913	173.66666666666666	4	10
1637716	1012160	7	4	59	0	5	0.7142857142857143	14.75	5	4
3628832	4384814	388	40	213	0	0	0.0	5.325	7	0
166852	2900893	25	14	8	0	0	0.0	0.5714285714285714	6	0
1551106	4600449	21	8	103	0	0	0.0	12.875	1	0
2097141	1756775	60	43	35	0	0	0.0	0.813953488372093	1	0
411002	4174165	471	132	257	0	67	0.14225053078556263	1.946969696969697	45	36
837658	2589752	11	3	675	0	0	0.0	225.0	0	0
1254018	1900358	43	41	20	0	0	0.0	0.4878048780487805	8	0
3026066	1312328	179	620	50	0	0	0.0	0.08064516129032258	2	0
835598	4855480	164	343	2921	0	7	0.042682926829268296	8.51603498542274	23	10
4074425	3081436	31	41	8	0	0	0.0	0.1951219512195122	0	0
2316060	2691019	10	7	5	0	0	0.0	0.7142857142857143	1	0
3238565	3866646	385	102	4	0	0	0.0	0.0392156862745098	2	0
4468670	2188230	409	71	12	0	0	0.0	0.16901408450704225	4	0
3148680	3339297	84	16	8	0	0	0.0	0.5	1	0
4413199	1919056	357	206	131	0	0	0.0	0.6359223300970874	4	0
1939957	1275559	9	2	3	0	0	0.0	1.5	1	0
4827940	4135599	37	5	1648	0	0	0.0	329.6	1	0
3022422	1957152	50	13	1	0	0	0.0	0.07692307692307693	1	0
300776	3614134	3	2	79	0	1	0.3333333333333333	39.5	1	1
2972100	1657006	62	38	4	0	0	0.0	0.10526315789473684	2	0
1876786	3752144	58	79	6	0	0	0.0	0.0759493670886076	1	0
1381689	3416613	130	19	2	0	0	0.0	0.10526315789473684	1	0
530260	4083203	208	77	62	0	0	0.0	0.8051948051948052	3	0
1941231	1941231	1	2	2	0	1	1.0	1.0	1	1
55290	2769378	250	58	4	0	0	0.0	0.06896551724137931	1	0
2843837	1940290	15	90	66	0	1	0.06666666666666667	0.7333333333333333	0	6
3406159	25712	6	45	92	0	0	0.0	2.0444444444444443	1	0
3889690	3541155	17	10	227	0	13	0.7647058823529411	22.7	13	8
617400	2595342	14	61	2	0	0	0.0	0.03278688524590164	1	0
3039338	4624297	420	165	32	0	5	0.011904761904761904	0.19393939393939394	6	2
2806620	698493	379	53	178	0	0	0.0	3.358490566037736	1	0
345633	1097946	3	2	1	0	0	0.0	0.5	1	0
1232200	1108996	24	6	77	0	4	0.16666666666666666	12.833333333333334	2	3
774741	3002746	39	9	286	0	1	0.02564102564102564	31.77777777777778	1	0
4077365	2918028	301	122	76	0	52	0.17275747508305647	0.6229508196721312	20	41
2536293	2314390	326	52	82	0	0	0.0	1.5769230769230769	6	0
2385744	3769337	268	224	14	0	0	0.0	0.0625	1	0
2575162	77562	89	26	76	0	0	0.0	2.923076923076923	8	0
2275978	3378107	16	10	10	0	0	0.0	1.0	0	0
1669142	462583	3	2	3	0	1	0.3333333333333333	1.5	2	1
1778242	3018376	81	37	50	0	11	0.13580246913580246	1.3513513513513513	4	4
1698708	4087203	2	4	6	0	0	0.0	1.5	0	0
2365590	990277	43	14	1	0	0	0.0	0.07142857142857142	1	0
737715	2426242	28	80	5	0	0	0.0	0.0625	0	0
779187	2978753	14	3	81	0	8	0.5714285714285714	27.0	2	1
283942	557202	182	11	9	0	0	0.0	0.8181818181818182	1	0
1289670	3266333	278	48	149	0	6	0.02158273381294964	3.1041666666666665	3	1
576784	3743325	103	78	57	0	2	0.019417475728155338	0.7307692307692307	1	3
3398068	4504242	7	127	274	0	0	0.0	2.15748031496063	1	11
2280158	1859486	68	58	1	0	0	0.0	0.017241379310344827	0	0
2887012	175	331	60	1	0	0	0.0	0.016666666666666666	1	0
4454561	3887758	38	16	85	0	9	0.23684210526315788	5.3125	8	6
488170	1824878	36	26	330	0	4	0.1111111111111111	12.692307692307692	2	3
457452	2106431	1010	60	24	0	0	0.0	0.4	1	0
1581489	2181765	18	9	844	0	2	0.1111111111111111	93.77777777777777	2	3
4004184	2693403	266	202	1	0	0	0.0	0.0049504950495049506	1	0
2538470	1959920	17	10	109	0	0	0.0	10.9	0	0
3119548	3500990	116	82	2	0	0	0.0	0.024390243902439025	1	0
4461548	4138984	43	36	70	0	0	0.0	1.9444444444444444	2	0
3205372	830552	52	6	26	0	0	0.0	4.333333333333333	1	0
602542	1047607	92	12	4	0	0	0.0	0.3333333333333333	1	0
2267963	3160057	15	10	2358	0	2	0.13333333333333333	235.8	1	0
596037	1082013	65	5	102	0	3	0.046153846153846156	20.4	1	0
3384287	2042635	506	17	101	0	4	0.007905138339920948	5.9411764705882355	2	3
3937867	3707492	177	22	6	0	0	0.0	0.2727272727272727	1	0
3998190	1767920	4	7	22	0	2	0.5	3.142857142857143	1	2
2102457	32410	73	38	458	0	7	0.0958904109589041	12.052631578947368	8	2
1178289	2521987	98	11	9	0	0	0.0	0.8181818181818182	2	0
1363893	3456054	6	4	2	0	0	0.0	0.5	0	0
4762558	277333	6	15	16	0	0	0.0	1.0666666666666667	0	0
1595863	1188002	8	99	437	0	2	0.25	4.414141414141414	4	7
185786	4118168	6	4	5	0	3	0.5	1.25	2	1
1368963	4253538	88	147	1412	0	9	0.10227272727272728	9.605442176870747	6	17
1485108	4786174	1163	121	56	0	0	0.0	0.4628099173553719	6	0
1931179	3073759	73	6	658	0	2	0.0273972602739726	109.66666666666667	6	0
1676913	1964664	89	22	45	0	0	0.0	2.0454545454545454	7	0
2881102	3989099	11	14	10	0	0	0.0	0.7142857142857143	1	0
4762558	2718230	6	15	417	0	1	0.16666666666666666	27.8	1	4
823361	3324836	388	190	4	0	0	0.0	0.021052631578947368	1	0
1588253	1325004	98	189	13	0	0	0.0	0.06878306878306878	2	0
124806	4001901	17	9	4	0	0	0.0	0.4444444444444444	0	0
1775944	3004174	692	49	258	0	25	0.036127167630057806	5.26530612244898	15	13
1224568	4431673	26	9	14	0	2	0.07692307692307693	1.5555555555555556	2	2
557514	1993885	122	85	247	0	0	0.0	2.9058823529411764	1	0
4769537	3888296	403	33	61	0	0	0.0	1.8484848484848484	4	0
561439	1729924	24	126	58	0	0	0.0	0.4603174603174603	2	0
1779840	2902958	49	16	147	0	0	0.0	9.1875	4	0
508497	1491458	28	1	7	0	0	0.0	7.0	0	0
3118623	3158187	76	46	10	0	0	0.0	0.21739130434782608	2	0
2372798	4591928	29	12	309	0	0	0.0	25.75	1	0
1039366	1828158	111	37	2	0	0	0.0	0.05405405405405406	0	0
1363893	3271326	6	4	7	0	0	0.0	1.75	1	0
2482824	3203030	499	117	160	0	0	0.0	1.3675213675213675	13	0
4255252	2417007	991	176	9	0	0	0.0	0.05113636363636364	3	0
3428892	163102	103	231	44	0	0	0.0	0.19047619047619047	5	0
3689055	4625427	435	443	21	0	0	0.0	0.04740406320541761	3	0
1368976	2147720	57	4	1608	0	4	0.07017543859649122	402.0	5	1
1343481	2188049	99	10	148	0	0	0.0	14.8	3	0
1330709	4111480	173	21	22	0	0	0.0	1.0476190476190477	1	0
371432	4076422	228	90	2	0	0	0.0	0.022222222222222223	0	0
2424544	4065047	165	66	1	0	0	0.0	0.015151515151515152	1	0
3379725	1847461	469	128	1211	0	95	0.2025586353944563	9.4609375	34	62
2632134	846364	428	60	1	0	0	0.0	0.016666666666666666	1	0
3457077	319819	1913	201	9	0	0	0.0	0.04477611940298507	1	0
4479571	1604578	131	38	6	0	0	0.0	0.15789473684210525	1	0
23142	4344495	98	42	144	0	0	0.0	3.4285714285714284	0	0
721228	2744944	287	70	274	0	13	0.04529616724738676	3.914285714285714	5	3
2354619	3260109	45	8	542	0	1	0.022222222222222223	67.75	1	0
2362241	837861	7732	324	142	0	0	0.0	0.4382716049382716	34	0
1550740	1645161	668	302	2	0	0	0.0	0.006622516556291391	1	0
330100	95326	578	53	43	0	0	0.0	0.8113207547169812	5	0
801774	2744958	27	14	2	0	0	0.0	0.14285714285714285	1	0
135231	974940	23	8	173	0	10	0.43478260869565216	21.625	3	2
4603640	4520863	14	5	3432	0	1	0.07142857142857142	686.4	1	0
3753233	1968010	1	434	786	0	1	1.0	1.8110599078341014	1	49
4084861	2423483	160	128	13	0	0	0.0	0.1015625	2	0
1885665	3219431	30	3	8	0	0	0.0	2.6666666666666665	0	0
1397682	991248	25	13	146	0	0	0.0	11.23076923076923	0	0
2627825	1872910	29	7	182	0	0	0.0	26.0	1	0
2378466	2005279	84	1	637	0	0	0.0	637.0	1	0
889005	1392958	171	11	91	0	2	0.011695906432748537	8.272727272727273	1	0
4228011	3961456	44	142	1	0	0	0.0	0.007042253521126761	0	0
3649287	3680277	184	10	1	0	0	0.0	0.1	1	0
514323	3237745	44	2	211	0	1	0.022727272727272728	105.5	2	0
931826	50344	158	38	70	0	0	0.0	1.8421052631578947	5	0
1642035	490652	57	2	20	0	3	0.05263157894736842	10.0	2	1
3023692	4441388	258	133	23	0	0	0.0	0.17293233082706766	1	0
3115851	764472	20	13	2	0	0	0.0	0.15384615384615385	1	0
3338096	4841801	12	34	2	0	0	0.0	0.058823529411764705	1	0
2386801	2452078	26	29	130	0	0	0.0	4.482758620689655	3	0
4520848	4031342	45	20	44	0	0	0.0	2.2	2	0
3908200	1537783	32	3	12	0	0	0.0	4.0	1	0
2714879	1091183	12	1	3	0	0	0.0	3.0	0	0
4384195	3671141	74	19	1444	0	5	0.06756756756756757	76.0	3	3
1691411	3596594	33	29	210	0	0	0.0	7.241379310344827	4	0
26387	955841	1	3	52	0	0	0.0	17.333333333333332	1	0
1074359	2703050	271	15	555	0	21	0.07749077490774908	37.0	16	1
1870555	3797960	20	7	614	0	0	0.0	87.71428571428571	1	0
1470055	1583151	48	18	41	0	0	0.0	2.2777777777777777	1	0
1845695	4820969	69	12	141	0	0	0.0	11.75	1	0
3560521	2335027	17	7	213	0	5	0.29411764705882354	30.428571428571427	5	3
97885	4836679	103	142	446	0	8	0.07766990291262135	3.140845070422535	2	1
228353	1271666	1883	73	4	0	0	0.0	0.0547945205479452	1	0
2647186	1860178	64	3	6	0	0	0.0	2.0	1	0
4045746	4844515	159	173	242	0	4	0.025157232704402517	1.3988439306358382	5	11
2200780	3854394	73	11	3	0	0	0.0	0.2727272727272727	1	0
2802004	770399	104	143	242	0	8	0.07692307692307693	1.6923076923076923	12	13
745911	2210630	357	38	1119	0	0	0.0	29.44736842105263	10	0
4426843	1750609	148	39	230	0	0	0.0	5.897435897435898	4	0
77169	2538609	44	3	377	0	0	0.0	125.66666666666667	5	0
132342	1992304	24	7	73	0	0	0.0	10.428571428571429	1	0
3923156	3246749	1070	261	4	0	0	0.0	0.01532567049808429	1	0
4635081	2081848	60	21	50	0	0	0.0	2.380952380952381	0	0
3538189	3035450	266	82	4	0	0	0.0	0.04878048780487805	1	0
1774052	2175815	54	14	26	0	9	0.16666666666666666	1.8571428571428572	13	4
391761	4727647	13	15	562	0	0	0.0	37.46666666666667	0	0
2210915	4441136	1678	325	25	0	0	0.0	0.07692307692307693	5	0
652304	2776160	124	104	117	0	0	0.0	1.125	1	0
1343769	2194646	179	41	420	0	0	0.0	10.24390243902439	5	0
1163928	2933007	254	96	1	0	0	0.0	0.010416666666666666	1	0
2591915	1689502	19	5	63	0	0	0.0	12.6	1	0
3862459	4450594	148	21	3	0	0	0.0	0.14285714285714285	2	0
1115665	3540581	62	58	9	0	0	0.0	0.15517241379310345	1	0
2046648	363750	152	39	1001	0	8	0.05263157894736842	25.666666666666668	5	4
2321778	4316209	30	83	215	0	1	0.03333333333333333	2.5903614457831323	1	2
3976177	153377	5	3	154	0	1	0.2	51.333333333333336	1	1
574549	4277947	26	6	32	0	2	0.07692307692307693	5.333333333333333	4	1
840801	4320013	1258	155	4	0	0	0.0	0.025806451612903226	3	0
4115218	1794079	39	4	9	0	0	0.0	2.25	2	0
3943316	2201305	255	64	23	0	0	0.0	0.359375	3	0
245822	4574916	9	1	1	0	0	0.0	1.0	0	0
3729969	765567	818	65	4	0	0	0.0	0.06153846153846154	1	0
407120	3787148	19	7	3	0	0	0.0	0.42857142857142855	0	0
4017703	873955	426	378	5	0	0	0.0	0.013227513227513227	1	0
2449591	102876	2	3	58	0	0	0.0	19.333333333333332	1	0
1725831	2233722	109	15	1	0	0	0.0	0.06666666666666667	1	0
2800085	2207548	100	2	390	0	9	0.09	195.0	7	0
2700289	4041441	2	1	274	0	0	0.0	274.0	0	0
2573848	2695298	96	29	379	0	0	0.0	13.068965517241379	1	0
2281686	2943370	105	13	23	0	1	0.009523809523809525	1.7692307692307692	1	0
4711305	2306235	70	208	286	0	0	0.0	1.375	8	0
4300088	354904	76	438	3193	0	9	0.11842105263157894	7.289954337899544	6	93
4224377	3623701	18	15	154	0	0	0.0	10.266666666666667	1	0
3964281	3703850	154	252	3	0	0	0.0	0.011904761904761904	2	0
1249746	3267708	500	134	100	0	0	0.0	0.746268656716418	2	0
1855133	1178312	406	77	1213	0	44	0.10837438423645321	15.753246753246753	57	15
1521082	2085888	6562	766	98	0	0	0.0	0.1279373368146214	48	0
4759640	4030529	129	6	299	0	14	0.10852713178294573	49.833333333333336	3	0
573872	2676945	243	60	50	0	0	0.0	0.8333333333333334	1	0
1931179	4320480	73	6	376	0	0	0.0	62.666666666666664	6	0
2441262	1709579	1665	136	116	0	5	0.003003003003003003	0.8529411764705882	3	2
1892251	3023881	188	283	1035	0	28	0.14893617021276595	3.6572438162544167	32	14
1200727	3237745	45	22	211	0	0	0.0	9.590909090909092	0	0
358755	2232851	154	34	4	0	0	0.0	0.11764705882352941	1	0
2679195	1888288	40	24	4	0	0	0.0	0.16666666666666666	0	0
3023064	3455715	426	78	29	0	0	0.0	0.3717948717948718	8	0
4337137	2098653	970	99	7	0	0	0.0	0.0707070707070707	3	0
925090	2970100	259	57	83	0	0	0.0	1.456140350877193	5	0
140459	188904	945	114	3	0	0	0.0	0.02631578947368421	0	0
1358759	937804	111	204	4	0	0	0.0	0.0196078431372549	2	0
4739853	4137460	1274	376	22	0	0	0.0	0.05851063829787234	13	0
2025936	2025936	1	3	3	0	1	1.0	1.0	1	1
2802492	895996	1064	215	11	0	0	0.0	0.05116279069767442	6	0
112408	1885210	78	25	117	0	0	0.0	4.68	2	0
941870	4373900	19	33	57	0	0	0.0	1.7272727272727273	2	0
117193	2646460	132	19	29	0	0	0.0	1.5263157894736843	1	0
2131956	1020102	8	3	57	0	0	0.0	19.0	1	0
2248793	875771	27	5	16	0	0	0.0	3.2	1	0
4406687	679113	1022	44	28	0	0	0.0	0.6363636363636364	4	0
1159321	964210	32	4	2	0	0	0.0	0.5	1	0
2632134	2230342	428	60	30	0	0	0.0	0.5	2	0
2929722	1497278	58	20	1869	0	6	0.10344827586206896	93.45	5	4
103101	255930	522	116	1	0	0	0.0	0.008620689655172414	1	0
886243	4611958	70	15	173	0	0	0.0	11.533333333333333	1	0
2260118	1198167	296	63	174	0	0	0.0	2.761904761904762	8	0
4760948	4357561	42	7	9	0	0	0.0	1.2857142857142858	2	0
1385910	985400	142	32	3	0	0	0.0	0.09375	2	0
3577332	2864531	582	108	71	0	0	0.0	0.6574074074074074	2	0
1425111	927378	152	33	6	0	0	0.0	0.18181818181818182	2	0
1091699	4209961	14	6	48	0	3	0.21428571428571427	8.0	2	3
3406451	3260109	5	6	542	0	0	0.0	90.33333333333333	1	0
917487	1503828	53	13	28	0	0	0.0	2.1538461538461537	1	0
1941231	1941231	1	2	2	0	1	1.0	1.0	1	1
3702662	4088833	3	1	13	0	0	0.0	13.0	0	0
2739345	4738916	875	68	1165	0	32	0.036571428571428574	17.13235294117647	17	8
265357	3068512	12	244	23	0	0	0.0	0.0942622950819672	2	0
219367	2322491	394	26	329	0	0	0.0	12.653846153846153	4	0
1658358	1439081	5	4	45	0	3	0.6	11.25	2	2
3689055	87224	435	443	54	0	5	0.011494252873563218	0.12189616252821671	6	6
4231768	1170359	368	75	30	0	0	0.0	0.4	6	0
1330040	3526457	59	35	15	0	0	0.0	0.42857142857142855	1	0
2252639	506428	231	65	1267	0	7	0.030303030303030304	19.49230769230769	27	2
267040	1657654	41	212	43	0	8	0.1951219512195122	0.2028301886792453	9	14
1986843	1739444	267	166	12	0	0	0.0	0.07228915662650602	1	0
2503308	3998060	171	36	234	0	6	0.03508771929824561	6.5	4	10
2026109	915390	375	273	1345	0	4	0.010666666666666666	4.926739926739927	7	3
2456104	150331	411	41	150	0	0	0.0	3.658536585365854	8	0
1107321	159599	129	46	173	0	0	0.0	3.760869565217391	8	0
3551861	2372716	43	80	8	0	0	0.0	0.1	1	0
1863926	182925	46	17	48	0	1	0.021739130434782608	2.823529411764706	1	0
2394672	649089	1	24	655	0	0	0.0	27.291666666666668	1	0
4424395	405079	7	2	19	0	0	0.0	9.5	0	0
3419326	4276658	1048	24	57	0	0	0.0	2.375	1	0
209767	1151229	137	40	57	0	0	0.0	1.425	1	0
4417764	3322460	80	25	5	0	0	0.0	0.2	1	0
2893353	4418314	1051	204	10	0	0	0.0	0.049019607843137254	1	0
2391178	4434827	359	282	31	0	0	0.0	0.1099290780141844	2	0
63547	2094132	350	49	321	0	1	0.002857142857142857	6.551020408163265	4	0
1022131	2223172	30	76	211	0	15	0.5	2.776315789473684	5	11
809037	3069735	160	32	198	0	7	0.04375	6.1875	5	2
3534895	3190600	19	5	12	0	0	0.0	2.4	1	0
3534728	1487260	12	13	9	0	0	0.0	0.6923076923076923	1	0
55847	3120444	122	48	5	0	1	0.00819672131147541	0.10416666666666667	1	0
3223113	3361377	18	3	4841	0	1	0.05555555555555555	1613.6666666666667	0	0
1005927	4492110	118	95	27	0	0	0.0	0.28421052631578947	2	0
1203129	1254521	156	61	58	0	0	0.0	0.9508196721311475	1	0
871961	1231831	2	4	15	0	1	0.5	3.75	1	2
